date,Energy Type,Energy Generated (GWh)
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),84.98
16/09/2024 0:00,Hydro,0.9
16/09/2024 0:00,Wind,1362.67
16/09/2024 0:00,Solar (Utility),249.03
16/09/2024 0:00,Solar (Rooftop),425.16
16/09/2024 0:00,Battery (Charging),-11.47
16/09/2024 0:00,Exports,-413.8
16/09/2024 0:00,Imports,232.25
16/09/2024 0:00,Coal (Brown),4580.5
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),12.47
16/09/2024 0:00,Hydro,52.25
16/09/2024 0:00,Wind,1370.5
16/09/2024 0:00,Solar (Utility),283.8
16/09/2024 0:00,Solar (Rooftop),670.47
16/09/2024 0:00,Battery (Charging),-68.5
16/09/2024 0:00,Exports,-136.03
16/09/2024 0:00,Imports,163.15
16/09/2024 0:00,Coal (Brown),3977.5
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0
16/09/2024 0:00,Hydro,0.9
16/09/2024 0:00,Wind,1472.5
16/09/2024 0:00,Solar (Utility),352.72
16/09/2024 0:00,Solar (Rooftop),967.73
16/09/2024 0:00,Battery (Charging),-35.63
16/09/2024 0:00,Exports,-104.49
16/09/2024 0:00,Imports,289.12
16/09/2024 0:00,Coal (Brown),3688.17
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0
16/09/2024 0:00,Hydro,0.86
16/09/2024 0:00,Wind,1528.17
16/09/2024 0:00,Solar (Utility),359.07
16/09/2024 0:00,Solar (Rooftop),1133.25
16/09/2024 0:00,Battery (Charging),-3.42
16/09/2024 0:00,Exports,-143.76
16/09/2024 0:00,Imports,305.93
16/09/2024 0:00,Coal (Brown),3232.83
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),12.67
16/09/2024 0:00,Hydro,0.87
16/09/2024 0:00,Wind,1625.33
16/09/2024 0:00,Solar (Utility),373.85
16/09/2024 0:00,Solar (Rooftop),1316.33
16/09/2024 0:00,Battery (Charging),-4.03
16/09/2024 0:00,Exports,-272.35
16/09/2024 0:00,Imports,333.98
16/09/2024 0:00,Coal (Brown),3029.33
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),7.63
16/09/2024 0:00,Hydro,0.93
16/09/2024 0:00,Wind,1745.83
16/09/2024 0:00,Solar (Utility),382.78
16/09/2024 0:00,Solar (Rooftop),1509.92
16/09/2024 0:00,Battery (Charging),-53.5
16/09/2024 0:00,Exports,-373.18
16/09/2024 0:00,Imports,348.77
16/09/2024 0:00,Coal (Brown),2934.5
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0.12
16/09/2024 0:00,Hydro,0.88
16/09/2024 0:00,Wind,1722
16/09/2024 0:00,Solar (Utility),378.55
16/09/2024 0:00,Solar (Rooftop),1718.5
16/09/2024 0:00,Battery (Charging),-149.47
16/09/2024 0:00,Exports,-365.55
16/09/2024 0:00,Imports,505.82
16/09/2024 0:00,Coal (Brown),2786.33
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0
16/09/2024 0:00,Hydro,0.89
16/09/2024 0:00,Wind,1714.33
16/09/2024 0:00,Solar (Utility),371.4
16/09/2024 0:00,Solar (Rooftop),1838.25
16/09/2024 0:00,Battery (Charging),-140.43
16/09/2024 0:00,Exports,-331.67
16/09/2024 0:00,Imports,599.2
16/09/2024 0:00,Coal (Brown),2779.17
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0
16/09/2024 0:00,Hydro,0.94
16/09/2024 0:00,Wind,1602
16/09/2024 0:00,Solar (Utility),370.92
16/09/2024 0:00,Solar (Rooftop),1817.67
16/09/2024 0:00,Battery (Charging),-96.92
16/09/2024 0:00,Exports,-362.18
16/09/2024 0:00,Imports,660.98
16/09/2024 0:00,Coal (Brown),2640.5
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0
16/09/2024 0:00,Hydro,1.02
16/09/2024 0:00,Wind,1658.67
16/09/2024 0:00,Solar (Utility),352.63
16/09/2024 0:00,Solar (Rooftop),1799.08
16/09/2024 0:00,Battery (Charging),-103.07
16/09/2024 0:00,Exports,-344.08
16/09/2024 0:00,Imports,572.18
16/09/2024 0:00,Coal (Brown),2532.5
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0
16/09/2024 0:00,Hydro,1.02
16/09/2024 0:00,Wind,1798.33
16/09/2024 0:00,Solar (Utility),342.62
16/09/2024 0:00,Solar (Rooftop),1726.83
16/09/2024 0:00,Battery (Charging),-96.3
16/09/2024 0:00,Exports,-391.92
16/09/2024 0:00,Imports,474.52
16/09/2024 0:00,Coal (Brown),2516.67
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0
16/09/2024 0:00,Hydro,0.97
16/09/2024 0:00,Wind,1829.5
16/09/2024 0:00,Solar (Utility),314.88
16/09/2024 0:00,Solar (Rooftop),1737.83
17/09/2024 0:00,Battery (Charging),-53.15
17/09/2024 0:00,Exports,-351.12
17/09/2024 0:00,Imports,436.33
17/09/2024 0:00,Coal (Brown),2516.67
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),0
17/09/2024 0:00,Hydro,1.02
17/09/2024 0:00,Wind,1831.67
17/09/2024 0:00,Solar (Utility),237.22
17/09/2024 0:00,Solar (Rooftop),1785.75
17/09/2024 0:00,Battery (Charging),-19.13
17/09/2024 0:00,Exports,-421.35
17/09/2024 0:00,Imports,416.73
17/09/2024 0:00,Coal (Brown),2512.33
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),0
17/09/2024 0:00,Hydro,1
17/09/2024 0:00,Wind,1897
17/09/2024 0:00,Solar (Utility),235.98
17/09/2024 0:00,Solar (Rooftop),1651.75
17/09/2024 0:00,Battery (Charging),-2.85
17/09/2024 0:00,Exports,-607.98
17/09/2024 0:00,Imports,448.05
17/09/2024 0:00,Coal (Brown),2528.5
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),22.87
17/09/2024 0:00,Hydro,0.99
17/09/2024 0:00,Wind,2116.5
17/09/2024 0:00,Solar (Utility),175.72
17/09/2024 0:00,Solar (Rooftop),1513.25
17/09/2024 0:00,Battery (Charging),-2.02
17/09/2024 0:00,Exports,-578.75
17/09/2024 0:00,Imports,427.03
17/09/2024 0:00,Coal (Brown),2611.17
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),21.3
17/09/2024 0:00,Hydro,0.98
17/09/2024 0:00,Wind,2144.5
17/09/2024 0:00,Solar (Utility),210.48
17/09/2024 0:00,Solar (Rooftop),1292.42
17/09/2024 0:00,Battery (Charging),-31.1
17/09/2024 0:00,Exports,-530.1
17/09/2024 0:00,Imports,361.25
17/09/2024 0:00,Coal (Brown),3117.17
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),0.07
17/09/2024 0:00,Hydro,2.98
17/09/2024 0:00,Wind,2091.17
17/09/2024 0:00,Solar (Utility),165.93
17/09/2024 0:00,Solar (Rooftop),1058.2
17/09/2024 0:00,Battery (Charging),-29.58
17/09/2024 0:00,Exports,-547.63
17/09/2024 0:00,Imports,405.75
17/09/2024 0:00,Coal (Brown),3540.5
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),0.18
17/09/2024 0:00,Hydro,12.97
17/09/2024 0:00,Wind,1962.5
17/09/2024 0:00,Solar (Utility),173.33
17/09/2024 0:00,Solar (Rooftop),800.68
17/09/2024 0:00,Battery (Charging),-9.32
17/09/2024 0:00,Exports,-656.18
17/09/2024 0:00,Imports,290.38
17/09/2024 0:00,Coal (Brown),4120.5
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),13.4
17/09/2024 0:00,Hydro,194.25
17/09/2024 0:00,Wind,1827.83
17/09/2024 0:00,Solar (Utility),160.52
17/09/2024 0:00,Solar (Rooftop),540.31
17/09/2024 0:00,Battery (Charging),-6.32
17/09/2024 0:00,Exports,-855.83
17/09/2024 0:00,Imports,113.3
17/09/2024 0:00,Coal (Brown),4462
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),-0.73
17/09/2024 0:00,Battery (Discharging),31.4
17/09/2024 0:00,Hydro,792.35
17/09/2024 0:00,Wind,1791.33
17/09/2024 0:00,Solar (Utility),60.56
17/09/2024 0:00,Solar (Rooftop),286.82
17/09/2024 0:00,Battery (Charging),0
17/09/2024 0:00,Exports,-1092.45
17/09/2024 0:00,Imports,88.37
17/09/2024 0:00,Coal (Brown),4723.33
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),160.6
17/09/2024 0:00,Battery (Discharging),124.43
17/09/2024 0:00,Hydro,1179.67
17/09/2024 0:00,Wind,1586.83
17/09/2024 0:00,Solar (Utility),9.68
17/09/2024 0:00,Solar (Rooftop),95.26
17/09/2024 0:00,Battery (Charging),-56.15
17/09/2024 0:00,Exports,-569.15
17/09/2024 0:00,Imports,253.87
17/09/2024 0:00,Coal (Brown),4712
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),226.6
17/09/2024 0:00,Battery (Discharging),22.2
17/09/2024 0:00,Hydro,873.08
17/09/2024 0:00,Wind,1600
17/09/2024 0:00,Solar (Utility),0.57
17/09/2024 0:00,Solar (Rooftop),13.08
17/09/2024 0:00,Battery (Charging),-0.13
17/09/2024 0:00,Exports,-418.52
17/09/2024 0:00,Imports,347.4
17/09/2024 0:00,Coal (Brown),4630.17
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),256.1
17/09/2024 0:00,Battery (Discharging),66.5
17/09/2024 0:00,Hydro,775.25
17/09/2024 0:00,Wind,1493.17
17/09/2024 0:00,Solar (Utility),0.15
17/09/2024 0:00,Solar (Rooftop),0.35
17/09/2024 0:00,Battery (Charging),-0.09
17/09/2024 0:00,Exports,-546.4
17/09/2024 0:00,Imports,266.35
17/09/2024 0:00,Coal (Brown),4615.83
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),275.1
17/09/2024 0:00,Battery (Discharging),26.2
17/09/2024 0:00,Hydro,970.65
17/09/2024 0:00,Wind,1383.83
17/09/2024 0:00,Solar (Utility),0.02
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-0.85
17/09/2024 0:00,Exports,-593.98
17/09/2024 0:00,Imports,103.22
17/09/2024 0:00,Coal (Brown),4590.33
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),273.43
17/09/2024 0:00,Battery (Discharging),33.29
17/09/2024 0:00,Hydro,1177.33
17/09/2024 0:00,Wind,1287.17
17/09/2024 0:00,Solar (Utility),0.06
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-1.56
17/09/2024 0:00,Exports,-855.3
17/09/2024 0:00,Imports,158.67
17/09/2024 0:00,Coal (Brown),4563.83
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),267.1
17/09/2024 0:00,Battery (Discharging),38.4
17/09/2024 0:00,Hydro,1159.73
17/09/2024 0:00,Wind,1274
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),0
17/09/2024 0:00,Exports,-667.4
17/09/2024 0:00,Imports,122.75
17/09/2024 0:00,Coal (Brown),4555.17
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),259.27
17/09/2024 0:00,Battery (Discharging),165.53
17/09/2024 0:00,Hydro,813.95
17/09/2024 0:00,Wind,1169.5
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-0.93
17/09/2024 0:00,Exports,-660.28
17/09/2024 0:00,Imports,237.6
17/09/2024 0:00,Coal (Brown),4527.67
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),128.43
17/09/2024 0:00,Battery (Discharging),80.64
17/09/2024 0:00,Hydro,741.05
17/09/2024 0:00,Wind,1103.83
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-10.47
17/09/2024 0:00,Exports,-894.57
17/09/2024 0:00,Imports,370.13
17/09/2024 0:00,Coal (Brown),4517.67
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),124.43
17/09/2024 0:00,Battery (Discharging),68.16
17/09/2024 0:00,Hydro,614.97
17/09/2024 0:00,Wind,1115
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-0.06
17/09/2024 0:00,Exports,-875.33
17/09/2024 0:00,Imports,323.57
17/09/2024 0:00,Coal (Brown),4508.33
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),125.1
17/09/2024 0:00,Battery (Discharging),5.89
17/09/2024 0:00,Hydro,512.32
17/09/2024 0:00,Wind,1083.17
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-22.77
17/09/2024 0:00,Exports,-1043.8
17/09/2024 0:00,Imports,335.45
17/09/2024 0:00,Coal (Brown),4502.67
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),114.93
17/09/2024 0:00,Battery (Discharging),4.1
17/09/2024 0:00,Hydro,500.33
17/09/2024 0:00,Wind,1030.17
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-1.73
17/09/2024 0:00,Exports,-926.05
17/09/2024 0:00,Imports,374.07
17/09/2024 0:00,Coal (Brown),4503.67
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),3.27
17/09/2024 0:00,Battery (Discharging),5.14
17/09/2024 0:00,Hydro,505
17/09/2024 0:00,Wind,999.78
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-1.84
17/09/2024 0:00,Exports,-987.53
17/09/2024 0:00,Imports,394.32
17/09/2024 0:00,Coal (Brown),4492.33
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),11.23
17/09/2024 0:00,Hydro,461.2
17/09/2024 0:00,Wind,967.9
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-1.12
17/09/2024 0:00,Exports,-1233.17
17/09/2024 0:00,Imports,423.95
17/09/2024 0:00,Coal (Brown),4501.33
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),2.37
17/09/2024 0:00,Hydro,460.12
17/09/2024 0:00,Wind,954.18
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-0.15
17/09/2024 0:00,Exports,-1285.67
17/09/2024 0:00,Imports,410.72
17/09/2024 0:00,Coal (Brown),4503.17
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),8.41
17/09/2024 0:00,Hydro,434.2
17/09/2024 0:00,Wind,919.1
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-7.05
17/09/2024 0:00,Exports,-1247.5
17/09/2024 0:00,Imports,411.62
17/09/2024 0:00,Coal (Brown),4491.33
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),2.18
17/09/2024 0:00,Hydro,259.1
17/09/2024 0:00,Wind,951.57
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-3.09
17/09/2024 0:00,Exports,-1273.67
17/09/2024 0:00,Imports,432.68
17/09/2024 0:00,Coal (Brown),4508
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),9.76
17/09/2024 0:00,Hydro,144.75
17/09/2024 0:00,Wind,910.33
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-31.52
17/09/2024 0:00,Exports,-1204.67
17/09/2024 0:00,Imports,428.43
17/09/2024 0:00,Coal (Brown),4458.33
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),0.02
17/09/2024 0:00,Hydro,81.39
17/09/2024 0:00,Wind,928.28
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-27.44
17/09/2024 0:00,Exports,-1219.83
17/09/2024 0:00,Imports,442.35
17/09/2024 0:00,Coal (Brown),4396
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),0.07
17/09/2024 0:00,Hydro,1.45
17/09/2024 0:00,Wind,963.63
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-31.5
17/09/2024 0:00,Exports,-1231.17
17/09/2024 0:00,Imports,442.87
17/09/2024 0:00,Coal (Brown),4398.17
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),1.81
17/09/2024 0:00,Hydro,1.02
17/09/2024 0:00,Wind,960.23
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-35.43
17/09/2024 0:00,Exports,-1241.83
17/09/2024 0:00,Imports,442.45
17/09/2024 0:00,Coal (Brown),4393.5
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),0.07
17/09/2024 0:00,Hydro,55.87
17/09/2024 0:00,Wind,920.68
17/09/2024 0:00,Solar (Utility),0
17/09/2024 0:00,Solar (Rooftop),0
17/09/2024 0:00,Battery (Charging),-61.68
17/09/2024 0:00,Exports,-1236.67
17/09/2024 0:00,Imports,439.73
17/09/2024 0:00,Coal (Brown),4398.83
17/09/2024 0:00,Gas (Steam),0
17/09/2024 0:00,Gas (OCGT),0.1
17/09/2024 0:00,Battery (Discharging),0.26
17/09/2024 0:00,Hydro,162.78
17/09/2024 0:00,Wind,871.45
